open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,EMA12,EMA26,MACD,Signal,Hist,return,rho1,ADX,volatility,delta_volatility,delta_volume,vol_vol_ratio,TrendScore,rho1_norm,ADX_norm,vol_vol_ratio_norm,target
2025-10-25 11:45:00,3941.35,3944.06,3940.31,3940.31,638.623,2025-10-25 11:59:59.999,2517649.109748,9574,375.2345,1479360.031992,0,3941.5006570943624,3938.9596522500046,2.541004844357758,3.264064406237086,-0.7230595618793281,-0.0002664055046989189,-0.028109352827046456,28.02753869569126,0.0016122222767905236,-1.2714047562680181e-05,206.63760000000002,-6.152823862975654e-08,16.810901334543697,0.8561071228100344,0.3594336846585182,-0.0343875578640873,1.0
2025-10-25 12:00:00,3940.32,3954.57,3939.51,3951.35,1278.4544,2025-10-25 12:14:59.999,5048429.123798,22255,709.8688,2802827.2662,0,3943.0159406183066,3939.8774557870415,3.138484831265032,3.2389484912426756,-0.1004636599776436,0.002801810009872341,-0.08923363402468391,28.707746151891673,0.0017068070519749557,9.458477518443204e-05,639.8314,1.4782765457342675e-07,17.206800993895598,0.5598937818465478,0.4107140684806921,0.22012741581283,1.0
2025-10-25 12:15:00,3951.35,3953.71,3947.58,3953.3,854.6297,2025-10-25 12:29:59.999,3377049.377044,14515,432.1328,1707754.089633,0,3944.598103600106,3940.871718321335,3.7263852787709766,3.336435848748336,0.3899494300226407,0.0004935022207601669,0.05001963439969499,29.353943235282067,0.0016474972503868531,-5.9309801588102546e-05,-423.8247000000001,1.3993946456660626e-07,17.622369896037075,1.2347266808494533,0.4594304331117574,0.2105377050039923,-1.0
2025-10-25 12:30:00,3953.3,3953.53,3948.0,3950.49,1141.6924,2025-10-25 12:44:59.999,4510072.082419,15021,565.4206,2233553.220616,0,3945.5045492000895,3941.5841836308655,3.920365569224032,3.4532217928434754,0.4671437763805564,-0.0007107985733438849,-0.005052605521295692,29.967830464502942,0.001517024174885382,-0.00013047307550147105,287.06269999999995,-4.545107236205577e-07,17.979687666695362,0.9678420343275098,0.5057109795112695,-0.5121382688309498,1.0
2025-10-25 12:45:00,3950.49,3955.9,3945.96,3953.37,1860.9563,2025-10-25 12:59:59.999,7353117.442845,22253,972.9275,3844609.529915,0,3946.714618553922,3942.457207065616,4.257411488305479,3.614059731935877,0.6433517563696025,0.0007290234882255664,0.003100554749396339,30.658711515660663,0.0015105502652972577,-6.473909588124334e-06,719.2639000000001,-9.000743104338106e-09,18.395847018546124,1.0073529258402234,0.557796038497151,0.0294703729369883,-1.0
2025-10-25 13:00:00,3953.38,3956.41,3938.81,3942.58,1966.9026,2025-10-25 13:14:59.999,7761592.715358,19849,680.4948,2685825.377255,0,3946.07852339178,3942.4663028385335,3.612220553246516,3.613691896198005,-0.0014713429514885,-0.0027293170130799904,-0.05428766146536261,30.560969870653643,0.001634485581782799,0.00012393531648554126,105.94629999999984,1.1697937208334926e-06,18.325724624057855,0.7292448659361057,0.5504273614476982,1.462536513895618,-1.0
2025-10-25 13:15:00,3942.59,3945.0,3937.0,3939.33,1410.1428,2025-10-25 13:29:59.999,5556530.552814,18791,543.14,2140072.805524,0,3945.040289023814,3942.2339841097537,2.806304914060547,3.452214499770513,-0.6459095857099659,-0.0008243333045873102,0.008579392145651383,30.29314260521705,0.0016182585721674586,-1.6227009615340376e-05,-556.7597999999998,2.914544048499978e-08,18.177601447388447,1.033903826692422,0.5302360435718984,0.0758448731412537,1.0
2025-10-25 13:30:00,3939.33,3945.0,3935.52,3941.12,1645.47,2025-10-25 13:44:59.999,6484239.270103,18952,874.0516,3444710.787569,0,3944.4371676355345,3942.15146676829,2.2857008672444863,3.218911773265308,-0.9332109060208218,0.00045439199051622303,0.034585862250981564,29.89555013857489,0.0016194177402192717,1.1591680518130594e-06,235.32719999999995,4.92577165671057e-09,17.944247256580283,1.1599333397701914,0.5002618142270681,0.0464009044046624,1.0
2025-10-25 13:45:00,3941.11,3943.4,3937.16,3942.84,854.3858,2025-10-25 13:59:59.999,3366320.959536,12882,312.6863,1232152.894864,0,3944.19144953776,3942.2024692298983,1.988980307861766,2.9729254801845997,-0.9839451723228336,0.00043642416368960824,0.019835640244293858,29.517837295264837,0.0013354846683963555,-0.0002839330718229162,-791.0842,3.589163730269372e-07,17.71466957699104,1.0884525394246327,0.471786296349479,0.4767489935419471,1.0
2025-10-25 14:00:00,3942.83,3945.48,3941.42,3945.47,551.5253,2025-10-25 14:14:59.999,2174965.300926,12009,281.5334,1110270.594928,0,3944.388149608874,3942.444508546202,1.9436410626717588,2.767068596682032,-0.823427534010273,0.0006670318856458746,0.0412669193050319,29.29252808236644,0.0013467941392749665,1.1309470878610988e-05,-302.8605,-3.7342178589188715e-08,17.583770225812433,1.192310296887266,0.4548003859323233,-0.0049844474935603,-1.0
2025-10-25 14:15:00,3945.46,3947.58,3938.92,3940.8,2140.9545,2025-10-25 14:29:59.999,8444894.53866,15970,1181.3923,4660347.41948,0,3943.836126592124,3942.322693098335,1.5134334937888525,2.5163415761033963,-1.0029080823145438,-0.0011836359166333965,0.03289174724684688,28.817893620504343,0.0013504396955505585,3.645556275592033e-06,1589.4291999999998,2.2936260863912867e-09,17.2973145222107,1.1517235178218803,0.4190180122496272,0.043200992282325,-1.0
2025-10-25 14:30:00,3940.8,3941.45,3937.0,3937.52,1455.3493,2025-10-25 14:44:59.999,5732678.728617,17391,693.9296,2733309.646007,0,3942.864414808721,3941.966938054014,0.8974767547065312,2.1925686118240235,-1.2950918571174923,-0.0008323183110029442,0.09968748497682282,28.171689076069207,0.0013522195033451778,1.7798077946193196e-06,-685.6051999999997,-2.5959660087457335e-09,16.922950942117694,1.4754212079614537,0.3703010851354039,0.0372566914826486,1.0
