open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,amount,VWEMA12,VWEMA26,MACD,VW_Signal,VW_Hist
2025-10-08 16:00:00,4.203,4.306,4.166,4.241,4226147.99,2025-10-08 19:59:59.999,17875187.70405,67202,2102549.1,8900815.24047,0.0,17923093.62559,4.189692240023936,4.041577493791496,0.14811474623243992,0.14485597530018876,0.0032587709322511593
2025-10-08 20:00:00,4.242,4.265,4.007,4.044,3487726.04,2025-10-08 23:59:59.999,14396590.82893,45660,1427324.94,5881155.72942,0.0,14104364.105759999,4.178122645636841,4.041676568249233,0.13644607738760772,0.14317399571767256,-0.006727918330064836
2025-10-09 00:00:00,4.043,4.159,3.821,4.012,7436252.86,2025-10-09 03:59:59.999,29641467.25439,89100,3597663.7,14352933.69964,0.0,29834246.47432,4.150424158067087,4.03912234108626,0.11130181698082708,0.13679955997030346,-0.02549774298947638
2025-10-09 04:00:00,4.011,4.171,3.915,4.023,6396093.69,2025-10-09 07:59:59.999,25819132.45565,84370,3322011.11,13424036.56385,0.0,25731484.91487,4.131957231896076,4.037928754727407,0.09402847716866969,0.1282453434099767,-0.034216866241307015
2025-10-09 08:00:00,4.024,4.03,3.757,3.819,8047846.21,2025-10-09 11:59:59.999,30954459.66058,121810,3727685.15,14345246.17345,0.0,30734724.67599,4.07647084795874,4.017916954838767,0.05855389311997339,0.11430705335197605,-0.05575316023200266
2025-10-09 12:00:00,3.818,3.9,3.637,3.676,5638839.26,2025-10-09 15:59:59.999,21142036.18613,83103,2824255.75,10608899.82451,0.0,20728373.11976,4.025203512357501,3.9957966524460597,0.029406859911440986,0.09732701466386905,-0.06792015475242806
2025-10-09 16:00:00,3.676,3.799,3.655,3.722,2828538.18,2025-10-09 19:59:59.999,10548320.96076,53212,1354689.81,5055619.43711,0.0,10527819.10596,4.003816081905885,3.98652549318708,0.01729058871880529,0.0813197294748563,-0.06402914075605101
2025-10-09 20:00:00,3.723,3.759,3.71,3.737,1097063.21,2025-10-09 23:59:59.999,4097562.41118,19779,537862.98,2008743.96891,0.0,4099725.21577,3.9954593419185644,3.983035718170785,0.012423623747779278,0.0675405083294409,-0.055116884581661627
2025-10-10 00:00:00,3.737,3.786,3.588,3.64,3357052.56,2025-10-10 03:59:59.999,12302444.84771,50919,1608776.66,5898402.94609,0.0,12219671.318400001,3.9592939830789113,3.9678809620336652,-0.00858697895475391,0.052315010872601944,-0.060901989827355854
2025-10-10 04:00:00,3.639,3.736,3.638,3.675,2538506.6,2025-10-10 07:59:59.999,9380745.94134,46352,1274967.62,4713698.79627,0.0,9329011.755,3.9355994995578913,3.9576820974355598,-0.02208259787766842,0.03743548912254788,-0.059518087000216297
